Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature difference [K],Mechanical power [W],Torque-speed interaction,Tool wear-torque interaction,Type_H,Type_L,Type_M,Machine failure
302.0,310.9,1456,47.2,54,8.899999999999977,7196.676675039404,68723.2,2548.8,0,0,1,0
297.0,308.3,1399,46.4,132,11.300000000000011,6797.736295935547,64913.6,6124.8,0,0,1,0
301.0,311.6,1357,45.6,137,10.600000000000023,6479.974671000451,61879.200000000004,6247.2,0,0,1,0
298.9,309.8,1411,56.3,84,10.900000000000034,8318.864042877189,79439.3,4729.2,0,1,0,0
297.1,308.5,1733,28.7,50,11.399999999999977,5208.45693236203,49737.1,1435.0,0,1,0,0
298.3,308.9,1706,31.8,8,10.599999999999966,5681.130491045638,54250.8,254.4,1,0,0,0
300.7,311.0,1263,52.3,104,10.300000000000011,6917.252952453614,66054.9,5439.2,0,0,1,0
297.6,309.0,1413,40.2,51,11.399999999999977,5948.3543621599865,56802.600000000006,2050.2000000000003,1,0,0,0
303.9,313.2,1608,40.6,79,9.300000000000011,6836.608269035965,65284.8,3207.4,0,0,1,0
297.3,308.6,1431,42.0,109,11.300000000000011,6293.866722201792,60102.0,4578.0,1,0,0,0
298.9,310.1,1466,42.5,187,11.200000000000045,6524.564342730401,62305.0,7947.5,0,1,0,0
297.9,308.6,1691,29.6,116,10.700000000000045,5241.600734857403,50053.600000000006,3433.6000000000004,0,1,0,0
299.2,310.7,1540,36.3,175,11.5,5854.04375069922,55901.99999999999,6352.499999999999,0,1,0,0
298.4,308.4,1515,40.1,179,10.0,6361.882203152011,60751.5,7177.900000000001,0,1,0,0
300.4,309.8,1421,47.2,0,9.400000000000034,7023.679639581725,67071.2,0.0,0,0,1,0
298.7,309.9,1617,33.0,203,11.199999999999989,5587.9508529401655,53361.0,6699.0,0,1,0,0
297.7,308.7,1249,60.4,143,11.0,7900.016438325086,75439.59999999999,8637.199999999999,0,1,0,0
298.9,310.0,1564,33.8,183,11.100000000000023,5535.821358841598,52863.2,6185.4,0,1,0,0
298.1,308.7,1568,32.9,10,10.599999999999966,5402.198951308912,51587.2,329.0,0,1,0,0
304.1,313.2,1434,50.1,43,9.099999999999966,7523.4232549637645,71843.40000000001,2154.3,0,1,0,0
302.5,311.1,1571,34.2,201,8.600000000000023,5626.403947020104,53728.200000000004,6874.200000000001,0,1,0,0
299.2,308.8,1908,21.3,104,9.600000000000023,4255.852735965021,40640.4,2215.2000000000003,1,0,0,0
299.6,310.2,1468,48.0,9,10.599999999999966,7378.972824751707,70464.0,432.0,0,1,0,0
301.0,312.2,1489,40.3,117,11.199999999999989,6283.886929538887,60006.7,4715.099999999999,1,0,0,0
299.1,310.5,1389,61.4,64,11.399999999999977,8930.982427478135,85284.59999999999,3929.6,0,1,0,0
302.4,310.2,1351,45.1,168,7.800000000000011,6380.585151416381,60930.1,7576.8,0,1,0,1
299.1,310.5,1532,36.6,62,11.399999999999977,5871.762333265467,56071.200000000004,2269.2000000000003,0,1,0,0
300.6,309.6,1726,30.0,147,9.0,5422.388920095983,51780.0,4410.0,0,1,0,0
301.7,311.2,1589,37.9,75,9.5,6306.548284546783,60223.1,2842.5,0,1,0,0
296.8,307.5,1347,54.8,43,10.699999999999989,7729.951556010758,73815.59999999999,2356.4,0,1,0,0
300.7,311.8,1486,47.3,19,11.100000000000023,7360.5212038996215,70287.8,898.6999999999999,0,1,0,0
299.6,311.0,1430,38.3,124,11.399999999999977,5735.396268148646,54768.99999999999,4749.2,0,1,0,0
297.1,308.3,1403,54.1,179,11.199999999999989,7948.4702690189515,75902.3,9683.9,0,1,0,0
300.7,310.6,1520,45.9,146,9.900000000000034,7306.087875188424,69768.0,6701.4,0,1,0,0
298.9,308.2,1372,63.6,30,9.300000000000011,9137.762055937417,87259.2,1908.0,0,0,1,1
298.7,309.8,1354,53.3,212,11.100000000000023,7557.43623142663,72168.2,11299.599999999999,0,1,0,1
299.7,309.1,1347,55.3,139,9.400000000000034,7800.480311083849,74489.09999999999,7686.7,0,1,0,0
300.7,309.5,1508,39.9,59,8.800000000000011,6300.903889745832,60169.2,2354.1,0,1,0,0
303.0,312.8,1648,32.1,104,9.800000000000011,5539.758821634097,52900.8,3338.4,0,0,1,0
300.4,311.7,1832,24.2,179,11.300000000000011,4642.687511377044,44334.4,4331.8,0,0,1,0
302.0,311.1,1406,48.8,159,9.100000000000023,7185.1156140741905,68612.8,7759.2,0,0,1,0
298.3,308.1,1326,58.4,90,9.800000000000011,8109.330284858261,77438.4,5256.0,0,1,0,0
298.9,310.3,1456,44.1,118,11.400000000000034,6724.013588331307,64209.6,5203.8,0,1,0,0
298.0,308.5,1702,26.7,203,10.5,4758.821719804747,45443.4,5420.099999999999,0,1,0,0
